year,industry1,job_vacancy,job_vacancy_rate,recruitment_rate,resignation_rate,retrench_term_contract,retrench,retrench_permanent
2016,construction,2000,0.6,2.1,1.7,1050,1920,870
2016,manufacturing,5800,1.6,1.6,1.5,660,6280,5620
2016,others,400,1.8,1.3,1.2,-,100,100
2016,services,41300,2.9,2.4,1.9,650,10880,10230
2017,construction,1700,0.6,1.7,1.8,830,2020,1190
2017,manufacturing,6500,1.8,1.8,1.5,460,3790,3330
2017,others,400,1.8,1.4,1.4,-,20,10
2017,services,40100,2.9,2.3,1.9,550,8900,8350
2018,construction,3000,1.1,2,1.8,400,1200,800
2018,manufacturing,8300,2.3,1.9,1.6,290,2570,2280
2018,others,400,2,1.8,1.4,-,-,-
2018,services,46200,3.1,2.4,1.9,440,6960,6520
2019,construction,2300,0.8,2.2,1.8,370,860,500
2019,manufacturing,6600,1.9,1.7,1.5,220,2790,2580
2019,others,400,1.7,1.6,1.2,-,30,30
2019,services,43600,2.9,2.4,1.8,300,7000,6700
2020,construction,2700,1,1,1.4,240,990,750
2020,manufacturing,5500,1.6,1.1,1.2,330,5320,5000
2020,others,300,1.6,1.1,0.9,10,40,30
2020,services,39900,2.7,1.8,1.6,3010,19760,16760
